Gene stable ID
ENSMPUG00000000002
ENSMPUG00000000003
ENSMPUG00000000004
ENSMPUG00000000005
ENSMPUG00000000006
ENSMPUG00000000007
ENSMPUG00000000008
ENSMPUG00000000009
ENSMPUG00000000010
ENSMPUG00000000011
ENSMPUG00000000012
ENSMPUG00000000013
ENSMPUG00000000014
ENSMPUG00000000015
ENSMPUG00000000016
ENSMPUG00000000017
ENSMPUG00000000018
ENSMPUG00000000019
ENSMPUG00000000020
ENSMPUG00000000021
ENSMPUG00000000022
ENSMPUG00000000023
ENSMPUG00000000024
ENSMPUG00000000025
ENSMPUG00000000026
ENSMPUG00000000027
ENSMPUG00000000028
ENSMPUG00000000029
ENSMPUG00000000030
ENSMPUG00000000031
ENSMPUG00000000032
ENSMPUG00000000033
ENSMPUG00000000034
ENSMPUG00000000035
ENSMPUG00000000036
ENSMPUG00000000037
ENSMPUG00000000038
ENSMPUG00000000039
ENSMPUG00000000040
ENSMPUG00000000041
ENSMPUG00000000042
ENSMPUG00000000043
ENSMPUG00000000044
ENSMPUG00000000045
ENSMPUG00000000046
ENSMPUG00000000047
ENSMPUG00000000048
ENSMPUG00000000049
ENSMPUG00000000050
ENSMPUG00000000051
ENSMPUG00000000052
ENSMPUG00000000053
ENSMPUG00000000054
ENSMPUG00000000055
ENSMPUG00000000056
ENSMPUG00000000057
ENSMPUG00000000058
ENSMPUG00000000059
ENSMPUG00000000060
ENSMPUG00000000061
ENSMPUG00000000062
ENSMPUG00000000063
ENSMPUG00000000064
ENSMPUG00000000065
ENSMPUG00000000066
ENSMPUG00000000067
ENSMPUG00000000068
ENSMPUG00000000069
ENSMPUG00000000070
ENSMPUG00000000071
ENSMPUG00000000072
ENSMPUG00000000073
ENSMPUG00000000074
ENSMPUG00000000075
ENSMPUG00000000076
ENSMPUG00000000077
ENSMPUG00000000078
ENSMPUG00000000079
ENSMPUG00000000080
ENSMPUG00000000081
ENSMPUG00000000082
ENSMPUG00000000083
ENSMPUG00000000084
ENSMPUG00000000085
ENSMPUG00000000086
ENSMPUG00000000087
ENSMPUG00000000088
ENSMPUG00000000089
ENSMPUG00000000090
ENSMPUG00000000091
ENSMPUG00000000092
ENSMPUG00000000093
ENSMPUG00000000094
ENSMPUG00000000095
ENSMPUG00000000096
ENSMPUG00000000097
ENSMPUG00000000098
ENSMPUG00000000099
ENSMPUG00000000100
ENSMPUG00000000101
ENSMPUG00000000102
ENSMPUG00000000103
ENSMPUG00000000104
ENSMPUG00000000105
ENSMPUG00000000106
ENSMPUG00000000107
ENSMPUG00000000108
ENSMPUG00000000109
ENSMPUG00000000110
ENSMPUG00000000111
ENSMPUG00000000112
ENSMPUG00000000113
ENSMPUG00000000114
ENSMPUG00000000115
ENSMPUG00000000116
ENSMPUG00000000117
ENSMPUG00000000118
ENSMPUG00000000119
ENSMPUG00000000120
ENSMPUG00000000121
ENSMPUG00000000122
ENSMPUG00000000123
ENSMPUG00000000124
ENSMPUG00000000125
ENSMPUG00000000126
ENSMPUG00000000127
ENSMPUG00000000128
ENSMPUG00000000129
ENSMPUG00000000130
ENSMPUG00000000131
ENSMPUG00000000132
ENSMPUG00000000133
ENSMPUG00000000134
ENSMPUG00000000135
ENSMPUG00000000136
ENSMPUG00000000137
ENSMPUG00000000138
ENSMPUG00000000139
ENSMPUG00000000140
ENSMPUG00000000141
ENSMPUG00000000142
ENSMPUG00000000143
ENSMPUG00000000144
ENSMPUG00000000145
ENSMPUG00000000146
ENSMPUG00000000147
ENSMPUG00000000148
ENSMPUG00000000149
ENSMPUG00000000150
ENSMPUG00000000151
ENSMPUG00000000152
ENSMPUG00000000153
ENSMPUG00000000154
ENSMPUG00000000155
ENSMPUG00000000156
ENSMPUG00000000157
ENSMPUG00000000158
ENSMPUG00000000159
ENSMPUG00000000160
ENSMPUG00000000161
ENSMPUG00000000162
ENSMPUG00000000163
ENSMPUG00000000164
ENSMPUG00000000165
ENSMPUG00000000166
ENSMPUG00000000167
ENSMPUG00000000168
